"day","pathway_a","pathway_b","n_le_a","n_le_b","shared_le","jaccard_le","containment_le","size_a","size_b","shared_set","jaccard_set","containment_set","same_cluster"
"d50","HALLMARK_E2F_TARGETS","HALLMARK_G2M_CHECKPOINT",122,125,54,0.28,0.443,194,187,73,0.223,0.365,FALSE
"d50","HALLMARK_PEROXISOME","HALLMARK_BILE_ACID_METABOLISM",43,44,17,0.243,0.395,99,95,39,0.22,0.375,FALSE
"d50","HALLMARK_MITOTIC_SPINDLE","HALLMARK_G2M_CHECKPOINT",81,125,31,0.177,0.383,198,187,39,0.108,0.196,FALSE
"d50","HALLMARK_HYPOXIA","HALLMARK_MTORC1_SIGNALING",64,74,18,0.15,0.281,183,192,31,0.084,0.155,FALSE
"d50","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MTORC1_SIGNALING",30,74,13,0.143,0.433,69,192,19,0.075,0.257,FALSE
"d50","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_ADIPOGENESIS",80,83,20,0.14,0.25,184,181,41,0.114,0.205,FALSE
"d50","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_PEROXISOME",41,43,8,0.105,0.195,137,99,25,0.105,0.24,FALSE
"d50","HALLMARK_MITOTIC_SPINDLE","HALLMARK_E2F_TARGETS",81,122,17,0.091,0.21,198,194,19,0.05,0.095,FALSE
"d50","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_FATTY_ACID_METABOLISM",80,41,10,0.09,0.244,184,137,31,0.095,0.196,FALSE
"d50","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_ADIPOGENESIS",41,83,9,0.078,0.22,137,181,29,0.088,0.184,FALSE
