"pathway","size","NES","pval","padj","n_leading_edge","cluster","cluster_size","is_representative","redundancy_flag","max_jaccard_le","max_jaccard_le_partner","max_jaccard_set","max_jaccard_set_partner","median_gene_n","max_gene_n","frac_promiscuous","category","matched_keyword","relevance_flag","top_leading_edge","keep","notes"
"HALLMARK_PANCREAS_BETA_CELLS",31,-1.72425623847905,0.00417463906766394,0.0173943294485998,8,1,1,TRUE,"",0,"HALLMARK_SPERMATOGENESIS",0.02,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,1,0,"hepatic_renal_gi","PANCREAS","review: tissue mismatch","SST;ISL1;SYT13;STXBP1;CHGA;PAK3;DCX;PCSK2","",""
"HALLMARK_SPERMATOGENESIS",98,-1.56681153349124,0.00591623851782656,0.0227547635301022,41,2,1,TRUE,"",0,"HALLMARK_PANCREAS_BETA_CELLS",0.006,"HALLMARK_APICAL_JUNCTION",1,1,0,"reproductive","SPERMATOGENESIS","review: tissue mismatch","SCG5;YBX2;CNIH2;GSTM3;SNAP91;TNNI3;VDAC3;GRM8;GAD1;SCG3;DDX25;STRBP;CLVS1;PIAS2;SHE","",""
"HALLMARK_APICAL_JUNCTION",171,1.50217076981046,0.00157573103559944,0.00716241379817929,46,3,1,TRUE,"",0.066,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.044,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1,3,0.13,"epithelial_adhesion","APICAL_JUNCTION","review: tissue mismatch","ACTC1;ACTA1;ACTN4;ITGA2;BAIAP2;VCL;FLNC;CLDN4;MSN;CDH15;SHC1;TJP1;ITGB1;ACTN1;B4GALT1","",""
"HALLMARK_ADIPOGENESIS",181,1.54699851534945,0.00064712404655935,0.00323562023279675,63,4,1,TRUE,"",0.041,"HALLMARK_MYOGENESIS",0.023,"HALLMARK_MYOGENESIS",1,3,0.032,"metabolic","ADIPOGENESIS","","C3;NABP1;ACO2;DNAJC15;ESYT1;APOE;UCK1;ACOX1;STOM;COQ9;PREB;SLC1A5;ITGA7;NMT1;GPD2","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",69,1.56489258595074,0.00809399477806788,0.0269799825935596,26,5,1,TRUE,"",0.035,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.022,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1,3,0.154,"metabolic","CHOLESTEROL","","CLU;SCD;PLSCR1;ACSS2;PCYT2;LSS;SEMA3B;CXCL16;ANXA5;FADS2;STX5;ETHE1;LDLR;ANTXR2;FDPS","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",171,1.72633230744659,3.06055691636537e-05,0.000218611208311812,63,6,1,TRUE,"",0.061,"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.072,"HALLMARK_INTERFERON_GAMMA_RESPONSE",1,3,0.111,"immune_inflammatory","TNFA","review: cell-intrinsic vs infiltrate","SOCS3;GFPT2;RCAN1;ZFP36;JUN;DUSP1;PLAU;JUNB;SOD2;B4GALT1;KDM6B;SPSB1;IER2;MAP2K3;NFKB2","",""
"HALLMARK_COAGULATION",101,1.7474564088369,0.000244160155057489,0.00135644530587494,37,7,1,TRUE,"",0.071,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.056,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1,3,0.135,"hematopoietic_vascular","COAGULATION","review: tissue mismatch","C2;CAPN2;CLU;CTSK;ITGA2;C3;PLAU;RGN;CFB;THBS1;SIRT2;ARF4;TF;C1S;THBD","",""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",105,1.88344423664523,1.44923630685366e-05,0.000144923630685366,43,8,1,TRUE,"",0.039,"HALLMARK_MYC_TARGETS_V2",0.03,"HALLMARK_MYC_TARGETS_V2",1,3,0.023,"stress_proteostasis","UNFOLDED_PROTEIN","","ALDH18A1;NABP1;YIF1A;EIF4G1;ARFGAP1;SHC1;WIPI1;BAG3;GEMIN4;EXOSC4;PREB;HSPA9;PARN;KHSRP;KIF5B","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING",59,1.96306641402376,6.62731723513349e-05,0.000414207327195843,21,9,1,TRUE,"",0.113,"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.083,"HALLMARK_INTERFERON_GAMMA_RESPONSE",2,3,0.381,"immune_inflammatory","IL6","review: cell-intrinsic vs infiltrate","STAT1;SOCS3;IL4R;JUN;STAT2;IRF9;HMOX1;TNFRSF21;INHBE;PIM1;ACVRL1;STAT3;PTPN11;LTBR;TGFB1","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE",157,2.03160077322343,7.86127773809265e-08,9.82659717261581e-07,58,10,1,TRUE,"",0.326,"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.326,"HALLMARK_INTERFERON_ALPHA_RESPONSE",2,3,0.138,"immune_inflammatory","INTERFERON","review: cell-intrinsic vs infiltrate","HELZ2;MX1;STAT1;SOCS3;IL4R;STAT2;CFB;LATS2;RNF213;IRF9;IRF7;SOD2;ISG15;UPP1;ADAR","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",185,2.03906938696065,2.62124189296352e-08,4.36873648827253e-07,83,11,1,TRUE,"",0.081,"HALLMARK_MYOGENESIS",0.058,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1,3,0.108,"epithelial_adhesion","EPITHELIAL_MESENCHYMAL","review: tissue mismatch","ITGA2;JUN;COPA;FBLN1;TPM2;ITGB1;THBS1;COL5A1;LOXL2;CDH11;LOXL1;FBN2;FLNA;CAP2;FERMT2","",""
