"pathway","size","NES","pval","padj","n_leading_edge","cluster","cluster_size","is_representative","redundancy_flag","max_jaccard_le","max_jaccard_le_partner","max_jaccard_set","max_jaccard_set_partner","median_gene_n","max_gene_n","frac_promiscuous","category","matched_keyword","relevance_flag","top_leading_edge","keep","notes"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",185,-2.30544475268765,1.23465059455294e-11,6.17325297276468e-10,75,1,1,TRUE,"",0.064,"HALLMARK_GLYCOLYSIS",0.054,"HALLMARK_ANGIOGENESIS",1,5,0.08,"epithelial_adhesion","EPITHELIAL_MESENCHYMAL","review: tissue mismatch","LAMC2;IGFBP2;CRLF1;TPM1;SGCB;PLOD1;APLP1;PCOLCE2;SLIT3;EDIL3;DKK1;FSTL1;THY1;CD59;MSX1","",""
"HALLMARK_ANGIOGENESIS",31,-1.88352944037891,0.00174361290366181,0.00871806451830906,13,2,1,TRUE,"",0.06,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.054,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2,5,0.154,"hematopoietic_vascular","ANGIOGENESIS","review: tissue mismatch","VTN;STC1;FSTL1;LRPAP1;MSX1;SPP1;VEGFA;PDGFA;KCNJ8;CCND2;TIMP1;APP;SERPINA5","",""
"HALLMARK_HYPOXIA",183,-1.81777186502006,8.89768376303192e-06,0.000151821302235266,74,3,1,TRUE,"",0.284,"HALLMARK_GLYCOLYSIS",0.194,"HALLMARK_GLYCOLYSIS",1,5,0.095,"stress_proteostasis","HYPOXIA","","PDK3;CDKN1C;GPC3;CDKN1A;STC1;SLC6A6;PFKL;SCARB1;SLC37A4;HS3ST1;PPFIA4;IDS;ENO1;DCN;GYS1","",""
"HALLMARK_GLYCOLYSIS",190,-1.68652861286802,0.000109854947874292,0.000915457898952437,75,4,1,TRUE,"",0.284,"HALLMARK_HYPOXIA",0.194,"HALLMARK_HYPOXIA",1,5,0.093,"metabolic","GLYCOLYSIS","","PDK3;FUT8;GPC3;STC1;PLOD1;ABCB6;ME1;CHST12;SLC37A4;SPAG4;CYB5A;PPFIA4;PKM;LHPP;ENO1","",""
"HALLMARK_HEDGEHOG_SIGNALING",36,-1.63312106493003,0.00939187602723644,0.0313062534241215,14,5,1,TRUE,"",0.042,"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.04,"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1,5,0.143,"developmental_patterning","HEDGEHOG","","AMOT;THY1;NKX6-1;HEY1;CELSR1;VEGFA;SLIT1;L1CAM;ACHE;GLI1;RTN1;SCG2;SHH;UNC5C","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",38,-1.58929380490141,0.0145233075661747,0.0403425210171521,11,6,1,TRUE,"",0.043,"HALLMARK_ANGIOGENESIS",0.04,"HALLMARK_ANGIOGENESIS",1,2,0,"developmental_patterning","WNT_BETA_CATENIN","","ADAM17;TP53;DKK1;KAT2A;HEY1;LEF1;HDAC11;NCSTN;CCND2;GNAI1;NCOR2","",""
"HALLMARK_APICAL_JUNCTION",171,-1.57195090528534,0.0012224588258053,0.00679143792114057,68,7,1,TRUE,"",0.036,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.044,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1,3,0.029,"epithelial_adhesion","APICAL_JUNCTION","review: tissue mismatch","LAMC2;CLDN6;CADM3;JAM3;TSPAN4;TMEM8B;CERCAM;THY1;CLDN11;ADAM23;GAMT;ITGA3;LAYN;CD276;EVL","",""
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",184,1.53010798719461,0.00290875688916105,0.0132216222234593,72,8,1,TRUE,"",0.016,"HALLMARK_MYC_TARGETS_V1",0.028,"HALLMARK_MYC_TARGETS_V1",1,2,0,"metabolic","OXIDATIVE_PHOSPHORYLATION","","NDUFS1;ACAT1;IDH1;MRPS22;SUPV3L1;DLD;SLC25A5;LRPPRC;PDHX;MPC1;ACADM;CS;OXA1L;ALAS1;PDHA1","",""
"HALLMARK_MYC_TARGETS_V2",57,1.65744205417304,0.00590219224283305,0.024592467678471,21,9,1,TRUE,"",0.057,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.075,"HALLMARK_MYC_TARGETS_V1",2,5,0.238,"cell_cycle","MYC_TARGETS","","SUPV3L1;MPHOSPH10;TFB2M;DDX18;PPRC1;WDR43;NOLC1;HSPD1;WDR74;UTP20;GRWD1;RRP12;MYBBP1A;PA2G4;PES1","",""
"HALLMARK_MYC_TARGETS_V1",192,1.72038683697053,0.000140034115459717,0.00100024368185512,114,10,1,TRUE,"",0.12,"HALLMARK_E2F_TARGETS",0.096,"HALLMARK_E2F_TARGETS",1,5,0.149,"cell_cycle","MYC_TARGETS","","TCP1;SSBP1;RRM1;ABCE1;BUB3;MRPS18B;EIF2S1;DDX18;CAD;KPNB1;POLE3;NCBP1;EEF1B2;SF3A1;ILF2","",""
